Missing Values,Percentage
2570,99.65102753005041
2482,96.23885226832105
2411,93.4858472276076
2054,79.64327258627375
1572,60.95385808452889
1241,48.11942613416053
462,17.913920124079098
129,5.001938735944164
129,5.001938735944164
129,5.001938735944164
129,5.001938735944164
127,4.924389298177588
97,3.7611477316789452
97,3.7611477316789452
71,2.7530050407134548
70,2.7142303218301667
69,2.6754556029468786
69,2.6754556029468786
69,2.6754556029468786
20,0.7754943776657619
20,0.7754943776657619
14,0.5428460643660333
2,0.07754943776657619
2,0.07754943776657619
1,0.038774718883288095
1,0.038774718883288095
1,0.038774718883288095
1,0.038774718883288095
1,0.038774718883288095
1,0.038774718883288095
1,0.038774718883288095
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
